"6.05 Fractions, Decimals, and Percents I","6.05 Fracciones, decimales y porcentajes I",,,,,,,,,,,,,,,,,,,,,,
"Uses images to demonstrate ratios and asks student to determine corresponding fractions, percents, and decimals.","Usa imágenes para demostrar razones y le pide al estudiante que determine las fracciones, porcentajes y decimales correspondientes.",,,,,,,,,,,,,,,,,,,,,,
Number of Target Items,Número de elementos de destino,,,,,,,,,,,,,,,,,,,,,,
Total Number of Items,Número total de artículos,,,,,,,,,,,,,,,,,,,,,,
Unreduced Ratio,Proporción no reducida,,,,,,,,,,,,,,,,,,,,,,
Ratio Out of 100,Proporción de 100,,,,,,,,,,,,,,,,,,,,,,
Percent,Por ciento,,,,,,,,,,,,,,,,,,,,,,
Decimal,Decimal,,,,,,,,,,,,,,,,,,,,,,
Reduced Fraction,Fracción reducida,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem1,ProblemESP1,Problem Name,Problem2,ProblemESP2,Problem Name,Problem3,ProblemESP3,Problem Name,Problem4,ProblemESP4,Problem Name,Problem5,ProblemESP5,Problem Name,Problem6,ProblemESP6,Problem Name,Problem7,ProblemESP7,Problem Name,Problem8,ProblemESP8
%(5909989148156650439)%,How many shapes are purple?,¿Cuántas formas son moradas?,%(7729757148852597987)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 20, the original denominator: 5*100/20.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 5, y multiplicarlo por 100 y luego dividirlo por 20, el denominador original: 5 * 100/20.",%(1659450658303068308)%,"If the ratio out 100 is 50/100, the percent is its numerator, 50.","Si la razón de 100 es 50/100, el porcentaje es su numerador, 50.",%(-4206914970544747304)%,"Do you know how to find an equivalent fraction of 15/25 that has denominator of 100? You already know the denominator. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 15/25 que tiene un denominador de 100? Ya conoces el denominador. Entonces, ¿Cuál sería su numerador?",%(2417771700590580980)%,Try entering 70%.,Intente ingresar el 70%.,%(-3281272509224326337)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 65/100. The percent representation is just the numerator of this ratio, 65.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 65/100. La representación porcentual es solo el numerador de esta razón, 65.",%(486212199071752257)%,Try entering <%= 2/5*100 %>.,Intente ingresar <% = 2/5 * 100%>.,%(-3853443782350757836)%,Assets/08.png,Assets/08.png
%(6515068201275658079)%,"To work through question 1, you must first find the number of shapes that are squares.","Para resolver la pregunta 1, primero debes encontrar la cantidad de formas que son cuadrados.",%(2052947851064150340)%,"If the ratio out 100 is 40/100, the percent is its numerator, 40.","Si la relación de 100 es 40/100, el porcentaje es su numerador, 40.",%(2417771700590580980)%,Try entering 70%.,Intente ingresar el 70%.,%(-5524891684541221013)%,simplify(15/25*10),simplificar (15/25 * 10),%(-198802123979326865)%,"Try entering <%=fractionsimplify(fractionMake(4,10))%>.","Intente ingresar <%=fractionsimplify(fractionMake(4,10))%>.",%(-1750324427707531323)%,38/40,38/40,%(5909989148156650439)%,How many shapes are purple?,¿Cuántas formas son moradas?,%(7168043064064666)%,80,80
%(-7631311161659249381)%,"One way to find the numerator for the ratio out of 100 is to multiply the original numerator, 1, by 100 and then divide by the original denominator, 20.","Una forma de encontrar el numerador para la razón de 100 es multiplicar el numerador original, 1, por 100 y luego dividir por el denominador original, 20.",%(-4911522077173266648)%,Try entering 8.,Intente ingresar 8.,%(-2554799023345853635)%,"5 is the numerator, and 50 is the denominator. Divide 5 and 50 by their greatest common factor.",5 es el numerador y 50 es el denominador. Divida 5 y 50 por su máximo común denominador.,%(6420671132721353651)%,"Do you know how to find an equivalent fraction of 10/25 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 10/25 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(-6592820966654526823)%,70%,70%,%(9201511819184559739)%,Try entering 95/100.,Intente ingresar 95/100.,%(1482746530508165538)%,"Try entering <%=divEvaluate(fractionMake(4,5))%>.","Intente ingresar <%=divEvaluate(fractionMake(4,5))%>.",%(-7913179100734048665)%,Try entering 3/15.,Intente ingresar 3/15.
%(-1934125337180675039)%,Please provide your answer 'No_Value' in the highlighted element.,"Por favor, proporcione su respuesta 'Sin_Valor' en el elemento resaltado.",%(47726621823034941)%,25/100,25/100,%(-3346377273139902399)%,"Remember one percent (1%) is one out of 100. In the last column, you found the ratio out of 100, <%= 5/50*100 %>/100. The percent representation is just the numerator of this ratio, <%= 5/50*100 %>.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la última columna, encontró la proporción de 100, <% = 5/50 * 100%> / 100. La representación porcentual es solo el numerador de esta relación, <% = 5/50 * 100%>.",%(740653199322737913)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 20, and multiply it by 100 and then divide it by 25, the original denominator: 20*100/25.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 20, y multiplicarlo por 100 y luego dividirlo por 25, el denominador original: 20 * 100/25.",%(4855619103177724709)%,How many pieces are squares?,¿Cuántas piezas son cuadrados?,%(5909989148156650439)%,How many shapes are purple?,¿Cuántas formas son moradas?,%(6515068201275658079)%,"To work through question 1, you must first find the number of shapes that are squares.","Para resolver la pregunta 1, primero debes encontrar la cantidad de formas que son cuadrados.",%(-2628884831489346050)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 9/15 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 9/15 en 100."
%(6784040757061240)%,5%,5%,%(1505362605353143263)%,"Do you know how to find an equivalent fraction of 1/20 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 1/20 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(-6552532998734679519)%,Need more help? Greatest common factor of 25 and 50 is 25.,Necesitas más ayuda? Máximo común divisor de 25 y 50 es 25.,%(3358660098357750042)%,"Try entering <%=fractionsimplify(fractionMake(20,25))%>.","Intente ingresar <%=fractionsimplify(fractionMake(20,25))%>.",%(6497270100447420521)%,Enter as percent,Ingrese como porcentaje,%(1453400874603466882)%,simplify(26/40*10),simplificar (26/40 * 10),%(4778103992908896411)%,Assets/07.png,Assets/07.png,%(-8510372150954527870)%,simplify(9/15*10),simplify(9/15*10)
%(3485493188052103739)%,(3) What percent of the shapes are not blue?,(3) ¿Qué porcentaje de las formas no son azules?,%(-2129407948317870093)%,"Try entering <%=divEvaluate(fractionMake(5,20))%>.","Intente ingresar <% = divEvaluate (fracciónMake (5,20))%>.",%(-7765932247248196770)%,(4) What percent of the shapes are blue or red?,(4) ¿Qué porcentaje de las formas son azules o rojas?,%(6497270100447420521)%,Enter as percent,Ingrese como porcentaje,%(6176075074372006883)%,The ratio out of 100 is written as 10/100. Please express this value as a decimal.,"La razón de 100 se escribe como 10/100. Por favor, exprese este valor como decimal.",%(6497270100447420521)%,Enter as percent,Ingrese como porcentaje,%(-9171630243740445728)%,Need more help? Greatest common factor of 3 and 5 is 1.,Necesitas más ayuda? Máximo común divisor de 3 y 5 es 1.,%(6497270100447420521)%,Enter as percent,Ingrese como porcentaje
%(-4757875898996174553)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 60/100. La representación porcentual es solo el numerador de esta razón, 60.",%(-3214654429107953118)%,40%,40%,%(8526843010659789957)%,(3) What percent of the shapes are not yellow?,(3) ¿Qué porcentaje de las formas no son amarillas?,%(2682304859868629027)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 15/25 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 15/25 a 100.",%(-3214654429107953118)%,40%,40%,%(-6799496797133194364)%,Try entering 65/100.,Intente ingresar 65/100.,%(-5961227131185175699)%,simplify(2/5*10),simplificar (2/5 * 10),%(-4911522077163266682)%,Try entering 6.,Intente ingresar 6.
%(7430231617330530380)%,"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!","Para dividir el número por 10, salte el punto decimal un lugar hacia la IZQUIERDA. Si es un número entero, ¡hay un punto decimal 'invisible' en el lado derecho del número!",%(-7631311161659249381)%,"One way to find the numerator for the ratio out of 100 is to multiply the original numerator, 1, by 100 and then divide by the original denominator, 20.","Una forma de encontrar el numerador para la razón de 100 es multiplicar el numerador original, 1, por 100 y luego dividir por el denominador original, 20.",%(6320864326985301773)%,"Try entering <%=fractionsimplify(fractionMake(45,50))%>.","Intente ingresar <%=fractionsimplify(fractionMake(45,50))%>.",%(-7405828298053439016)%,"Try entering <%=divEvaluate(fractionMake(15,25))%>.","Intente ingresar <%=divEvaluate(fractionMake(15,25))%>.",%(-2997556519494578173)%,9/10,9/10,%(-8844931991661242436)%,95%,95%,%(-4757875898996174553)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 60/100. La representación porcentual es solo el numerador de esta razón, 60.",%(870709188012767527)%,The ratio out of 100 is written as <%= 3/15*100 %>/100. Please express this value as a decimal.,"La proporción de 100 se escribe como <% = 3/15 * 100%> / 100. Por favor, exprese este valor como decimal."
%(5094387309896744989)%,Try entering 100%.,Intente ingresar el 100%.,%(-6530361271998162544)%,Try entering 25/100.,Intente ingresar 25/100.,%(6497270100447420521)%,Enter as percent,Ingrese como porcentaje,%(-4757875898996174553)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 60/100. La representación porcentual es solo el numerador de esta razón, 60.",%(5144357299206125112)%,"If the ratio out 100 is 70/100, the percent is its numerator, 70.","Si la relación de 100 es 70/100, el porcentaje es su numerador, 70.",%(-5039107641294332743)%,simplify(38/40*10),simplificar (38/40 * 10),%(6656039988060078)%,40,40,%(-4757875898996174553)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 60/100. The percent representation is just the numerator of this ratio, 60.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 60/100. La representación porcentual es solo el numerador de esta razón, 60."
%(5766223256062670169)%,"To turn 20/100 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 20/100 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que no se pueda simplificar más.",%(6784040757061240)%,5%,5%,%(6176075074372006883)%,The ratio out of 100 is written as 10/100. Please express this value as a decimal.,La razón de 100 se escribe como 10/100. Exprese este valor como decimal.,%(-5466765454149668976)%,60%,60%,%(4890526530036366970)%,Count total items,Contar elementos totales,%(-5466765454144668893)%,65%,65%,%(7430231617330530380)%,"To divide the number by 10, hop the decimal point over one place to the LEFT. If it's a whole number, there is an 'invisible' decimal point at the right side of the number!","Para dividir el número por 10, salte el punto decimal un lugar hacia la IZQUIERDA. Si es un número entero, ¡hay un punto decimal 'invisible' en el lado derecho del número!",%(-5466765454149668976)%,60%,60%
