,"7.06 Problem Solving, Equations, and Graphs I","7.06 Resolución de problemas, ecuaciones y gráficas I",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Student is asked to determine independent and dependent quantities based on a word problem, plot points on a graph, draw a line connecting those points, and use the answers to determine the graph's linear equation in slope-intercept form.","Se le pide al estudiante que determine cantidades independientes y dependientes basadas en un problema verbal, trazar puntos en una gráfica, dibujar una línea que conecte esos puntos y usar las respuestas para determinar la ecuación lineal de la gráfica en forma pendiente-intersección.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Please read the questions and fill out the table. Once you have the x and y coordinates for a question,  press the add-a-point button.","Lea las preguntas y complete la tabla. Una vez que tenga las coordenadas x & y para una pregunta, presione el botón agregar un punto.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem1,Problema1,Problem Name,Problem2,Problema2,Problem Name,Problem3,Problema3,Problem Name,Problem4,Problema4,Problem Name,Problem5,Problema5,Problem Name,Problem6,Problema6,Problem Name,Problem7,Problema7,Problem Name,Problem8,Problema8,Problem Name,Problem9,Problema9,Problem Name,Problem10,Problema10
%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende de la<% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(99739938372883806)%,Good! Draw a line by clicking on two points.,¡Bien! Dibuja una línea haciendo clic en dos puntos.,%(99739938372883806)%,Good! Draw a line by clicking on two points.,¡Bien! Dibuja una línea haciendo clic en dos puntos.,%(99739938372883806)%,Good! Draw a line by clicking on two points.,¡Bien! Dibuja una línea haciendo clic en dos puntos.,%(-3042331129359162354)%,3. How much will your saving be in 10 weeks?,3. ¿Cuánto será su ahorro en 10 semanas?,%(99739938372883806)%,Good! Draw a line by clicking on two points.,¡Bien! Dibuja una línea haciendo clic en dos puntos.,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,El <% = cantidad2%> depende del <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(-5510604874305469429)%,"No, this is not correct. The cyclists ride at a pace of 21 miles an hour. What would the distance be when the time is 8 hours?","No, esto no es correcto. Los ciclistas viajan a un ritmo de 21 millas por hora. ¿Cuál sería la distancia cuando el tiempo sea de 8 horas?",%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,El <% = cantidad2%> depende del <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,El <% = cantidad2%> depende del <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...
%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende de la <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende de la <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende de la <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,El <% = cantidad2%> depende del <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,El <% = cantidad2%> depende del <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,El <% = cantidad2%> depende del <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?
%(929285225039203671)%,Name quantities,Cantidades de nombre,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(3830930357099497426)%,3. The whole filming takes 14 days. How much will the trips cost in total?,3. Todo el rodaje dura 14 días. ¿Cuánto costarán los viajes en total?,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(1821853207780689688)%,"<%=ifThen(hasValue(quantity2),concat(""The right column is called "",quantity2),""The distance is set. Depending on the distance, the costs changes."")%>.","<% = si entonces (tiene valor (cantidad2), concat (""La columna de la derecha se llama"", cantidad2), ""La distancia está establecida. Dependiendo de la distancia, los costos cambian."")%>.",%(6224775986925047928)%,Please enter '15*x + 60' in the highlighted field.,"Por favor, ingrese '15 * x + 60 'en el campo resaltado."
%(-356044300865121078)%,"No, this is not correct. What is the time in question 2?","No, esto no es correcto. ¿Qué hora es en la pregunta 2?",%(929285225039203671)%,Name quantities,Cantidades de nombre,%(929285225039203671)%,Name quantities,Cantidades de nombre,%(929285225039203671)%,Name quantities,Cantidades de nombre,%(929285225039203671)%,Name quantities,Cantidades de nombre,%(7725947781104339178)%,Please enter '0.1*x + 20' in the highlighted field.,"Por favor, ingrese '0.1 * x + 20' en el campo resaltado.",%(929285225039203671)%,Name quantities,Cantidades de nombre,%(929285225039203671)%,Name quantities,Cantidades de nombre,%(-2836564764808607529)%,"Look at the fifth question: ""You fall asleep in a cab and when you wake up, the taxi meter reads $71.50! How far has the cab driver been driving?"" What is the <%=quantity2%> here?","Mire la quinta pregunta: ""¡Se queda dormido en un taxi y cuando se despierta, el taxímetro marca $ 71.50! ¿Qué distancia ha estado conduciendo el taxista?"" ¿Cuál es el <% = cantidad2%> aquí?",%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = entrada%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% =entrada%>"" en la columna de la derecha en lugar de la columna de la izquierda."
%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = input%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% = input%>"" en la columna de la derecha en lugar de la columna de la izquierda.",%(-356044300865121078)%,"No, this is not correct. What is the time in question 2?","No, esto no es correcto. ¿Qué hora es en la pregunta 2?",%(5373210646414852179)%,"Look at the second question: ""How many eggs do the chickens lay in ten days?"" What is the time here?","Mire la segunda pregunta: ""¿Cuántos huevos ponen las gallinas en diez días?"" ¿Qué hora es aquí?",%(-356044300865121078)%,"No, this is not correct. What is the time in question 2?","No, esto no es correcto. ¿Qué hora es en la pregunta 2?",%(-356044300865121078)%,"No, this is not correct. What is the time in question 2?","No, esto no es correcto. ¿Qué hora es en la pregunta 2?",%(929285225039203671)%,Name quantities,Cantidades de nombre,%(4814032714611610486)%,2750,2750,%(-356044300865121078)%,"No, this is not correct. What is the time in question 2?","No, esto no es correcto. ¿Qué hora es en la pregunta 2?",%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = entrada%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% = entrada%>"" en la columna de la derecha en lugar de la columna de la izquierda.",%(6400019251)%,2,2
%(6400019251)%,2,2,%(57877533219072777)%,"Please enter '<%=ifThen(hasValue(grapher.unitX),grapher.unitX,""minutes"")%>' in the highlighted field.","Por favor, introduzca '<% = si Entonces(tiene Valor(graficador.unidad X), graficador.unidadX, ""minutos"")%>' en el campo resaltado.",%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = entrada%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% = entrada%>"" en la columna de la derecha en lugar de la columna de la izquierda.",%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = entrada%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% = entrada%>"" en la columna de la derecha en lugar de la columna de la izquierda.",%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = entrada%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% = entrada%>"" en la columna de la derecha en lugar de la columna de la izquierda.",%(389169594984030769)%,"Please <%=ifThen(greaterThan(100,grapher.rightBoundary*1),""adjust the right boundary of the x-axis by changing its value to higher than 100, then "","""")%><%=ifThen(greaterThan(grapher.leftBoundary*1,100),""adjust the left boundary of the x-axis by lowering it to less than 100, then "","""")%><%=ifThen(greaterThan(30,grapher.upperBoundary*1),""adjust the upper boundary of the y-axis by increasing its value to more than 30, then "","""")%><%=ifThen(greaterThan(grapher.lowerBoundary*1,30),""change the lower boundary of the y-axis by decreasing it to less than 30, then "","""")%>click the highlighted button to add a new point to the graph. After pressing the button, click where the point should go.","Por favor <% = si Entonces(mayor que (100, grapher.rightBoundary * 1), ""ajusta el límite derecho del eje x cambiando su valor a mayor que 100, luego"", """")%> <% = si Entonces (mayor que (grapher.leftBoundary * 1,100), ""ajusta el límite izquierdo del eje x bajándolo a menos de 100, luego"", """")%> <% = si Entonces(mayor que (30, grapher.upperBoundary * 1), ""ajusta el límite superior del eje y aumentando su valor a más de 30, luego"", """")%> <% = si Entonces (mayor que (grapher.lowerBoundary * 1,30), ""cambia el límite inferior del eje y disminuyéndolo a menos de 30, luego "","" "")%> haga clic en el botón resaltado para agregar un nuevo punto al gráfico. Después de presionar el botón, haga clic donde debe ir el punto.",%(8679612641181573453)%,Please enter '550*x' in the highlighted field.,"Por favor, ingrese '550 * x' en el campo resaltado.",%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = entrada%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% = entrada%>"" en la columna de la derecha en lugar de la columna de la izquierda.",%(659477584145336928)%,14.5,14.5,%(-7885373720926897057)%,"Please <%=ifThen(greaterThan(42,grapher.rightBoundary*1),""adjust the right boundary of the x-axis by changing its value to higher than 42, then "","""")%><%=ifThen(greaterThan(grapher.leftBoundary*1,42),""adjust the left boundary of the x-axis by lowering it to less than 42, then "","""")%><%=ifThen(greaterThan(690,grapher.upperBoundary*1),""adjust the upper boundary of the y-axis by increasing its value to more than 690, then "","""")%><%=ifThen(greaterThan(grapher.lowerBoundary*1,690),""change the lower boundary of the y-axis by decreasing it to less than 690, then "","""")%>click the highlighted button to add a new point to the graph. After pressing the button, click where the point should go.","Por favor <% = si entonces (mayor que (42, grapher.rightBoundary * 1), ""ajusta el límite derecho del eje x cambiando su valor a mayor que 42, luego"", """")%> <% = si entonces (mayor que (grapher.leftBoundary * 1,42), ""ajusta el límite izquierdo del eje x bajándolo a menos de 42, luego"", """")%> <% = si entonces (mayor que (690, grapher.upperBoundary * 1 ), ""ajustar el límite superior del eje y aumentando su valor a más de 690, luego"", """")%> <% = si entonces (mayor que (grapher.lowerBoundary * 1,690), ""cambiar el límite inferior del eje y disminuyéndolo a menos de 690, luego "","" "")%> haga clic en el botón resaltado para agregar un nuevo punto al gráfico. Después de presionar el botón, haga clic donde debe ir el punto."
%(-1471816675643986907)%,"The <%=quantity1%> is from left-to-right and is 3 <%=ifThen(hasValue(unit1),unit1,""hours"")%>. The <%=quantity2%> is from bottom-to-top and is 9 <%=ifThen(hasValue(unit2),unit2,""miles"")%>. Click on the spot where 3 <%=ifThen(hasValue(unit1),unit1,""hours"")%> and 9 <%=ifThen(hasValue(unit2),unit2,""miles"")%> intersect (meet). <%=ifThen(greaterThan((grapher.upperBoundary-grapher.lowerBoundary)/grapher.yStep,40),concat(""Change the y-axis scale to get a grid line for 9 "",unit2,"".""),"""")%>","La <% = cantidad1%> es de izquierda a derecha y es 3 <% = si Entonces (Tiene valor (unit1), unidad 1, ""horas"")%>. La<% = cantidad2%> es de abajo hacia arriba y es 9 <% = si Entonces (Tiene valor (unidad2), unidad2, ""miles"")%>. Haga clic en el lugar donde 3 <% = si Entonces (Tiene valor (unidad1), unidad1, ""horas"")%> y 9 <% = si Entonces (hasValue (unidad2), unidad2, ""miles"")%> se cruzan (se encuentran). <% = si Entonces (mayor que ((grapher.upperBoundary-grapher.lowerBoundary) /grapher.yStep,40), concat (""Cambiar la escala del eje y para obtener una línea de cuadrícula para 9"", unidad2, "".""), "" "")%>",%(4830423423973910799)%,The <%=quantity1%> is at 50 <%=unit1%>.,La <% = cantidad 1%> está al 50 <% = unidad 1%>.,%(6400019251)%,2,2,%(-7270440466569537461)%,"Please enter '<%=ifThen(hasValue(quantity2),quantity2,""tree height"")%>' in the highlighted field.","Por favor ingrese '<% = si Entonces (Tiene Valor (cantidad2), cantidad2, ""altura del árbol"")%>' en el campo resaltado.",%(-402730976431552187)%,Look back at the first three questions: how did you find the <%=quantity2%> (= y) using the number of <%=unit1%> (= x)?,Mira las primeras tres preguntas: ¿Cómo encontraste la <% = cantidad 2%> (= y) usando el número de <% = unidad 1%> (= x)?,%(8230610273061812561)%,"-20,420","-20,420",%(8230610273061812561)%,"-20,420","-20,420",%(4907907517997851713)%,The <%=quantity1%> is at 12 <%=unit1%>.,El <% = cantidad 1%> está en 12 <% = unidad 1%>.,%(6400019251)%,2,2,%(913938094439943790)%,The <%=quantity1%> is at 317 <%=unit1%>.,El <% = cantidad1%> está en 317 <% = unidad1%>.
