"7.10 Equations, Graphs, and Negative Slope","7.10 Ecuaciones, gráficos y pendiente negativa",,,,,,,,,,,,,,,,,,,,,,,,,
"Student is asked to determine independent and dependent quantities based on a word problem, plot points on a graph, draw a line connecting those points, and use the answers to determine the graph's linear equation in slope-intercept form.","Se le pide al estudiante que determine cantidades independientes y dependientes basadas en un problema verbal, trazar puntos en una gráfica, dibujar una línea que conecte esos puntos y usar las respuestas para determinar la ecuación lineal de la gráfica en forma pendiente-intersección.",,,,,,,,,,,,,,,,,,,,,,,,,
Quantity Name,Nombre de la Cantidad,,,,,,,,,,,,,,,,,,,,,,,,,
Unit,Unidad,,,,,,,,,,,,,,,,,,,,,,,,,
x-axis,eje x,,,,,,,,,,,,,,,,,,,,,,,,,
y-axis,eje y,,,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem1,Problem1ESP,Problem Name,Problem2,Problem2ESP,Problem Name,Problem3,Problem3ESP,Problem Name,Problem4,Problem4ESP,Problem Name,Problem5,Problem5ESP,Problem Name,Problem6,Problem6ESP,Problem Name,Problem7,Problem7ESP,Problem Name,Problem8,Problem8ESP,Problem Name,Problem9,Problem9ESP
%(99739938372883806)%,Good! Draw a line by clicking on two points.,¡Bien! Dibuja una línea haciendo clic en dos puntos.,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende del <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(-2869367360098225026)%,It says <%=quantity2%> (y) EQUALS <%=quantity1%> (x) TIMES -300 + 10200.,Dice <% = cantidad2%> (y) IGUAL A <% = cantidad1%> (x) VECES -300 + 10200.,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende de la <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(-4297659741913057652)%,"Please <%=ifThen(greaterThan(46,grapher.rightBoundary*1),""adjust the right boundary of the x-axis by changing its value to higher than 46, then "","""")%><%=ifThen(greaterThan(grapher.leftBoundary*1,46),""adjust the left boundary of the x-axis by lowering it to less than 46, then "","""")%><%=ifThen(greaterThan(348,grapher.upperBoundary*1),""adjust the upper boundary of the y-axis by increasing its value to more than 348, then "","""")%><%=ifThen(greaterThan(grapher.lowerBoundary*1,348),""change the lower boundary of the y-axis by decreasing it to less than 348, then "","""")%>add the point by clicking on the right spot in the graph.","Por favor, <% = IfThen (greaterThan (46, grapher.rightBoundary * 1), ""ajusta el límite derecho del eje x cambiando su valor a más alto que 46, luego"", """")%> 
<% = ifThen (greaterThan (grapher.leftBoundary * 1,46), ""ajusta el límite izquierdo del eje x bajándolo a menos de 46, luego"", """")%> 
<% = ifThen (greaterThan (348, grapher.upperBoundary * 1 ), ""ajusta el límite superior del eje y aumentando su valor a más de 348, luego"", """")%> <% = ifThen (greaterThan (grapher.lowerBoundary * 1348), ""cambia el límite inferior del eje y disminuyéndolo a menos de 348, luego "","" "")%> agregue el punto haciendo clic en el lugar correcto en el gráfico.",%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende de la <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende de <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(-2671858939968407189)%,Please enter '-25*x+ 1200' in the highlighted field.,"Por favor, ingrese '-25 * x + 1200' en el campo resaltado.",%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende de la <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...
%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende de la <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(-1346729125079353436)%,The <%=quantity2%> depends on the <%=quantity1%>. Let's call <%=quantity2%> 'y' and <%=quantity1%> 'x'. Now to complete the equation y = ...,La <% = cantidad2%> depende del <% = cantidad1%>. Llamemos <% = cantidad2%> 'y' y <% = cantidad1%> 'x'. Ahora para completar la ecuación y = ...,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(-5165938413001388203)%,"Look at the third question: ""What number of workers does a factory need that has 25 machines?"" What is the machines needed here?","Mire la tercera pregunta: ""¿Qué número de trabajadores necesita una fábrica que tiene 25 máquinas?"" ¿Qué máquinas se necesitan aquí?",%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(-9069833063114170908)%,Please enter '33' in the highlighted field.,"Por favor, ingrese '33' en el campo resaltado.",%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?
%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(7040042295063504)%,77,77,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(-2955577012670155578)%,"Please <%=ifThen(greaterThan(20,grapher.rightBoundary*1),""adjust the right boundary of the x-axis by changing its value to higher than 20, then "","""")%><%=ifThen(greaterThan(grapher.leftBoundary*1,20),""adjust the left boundary of the x-axis by lowering it to less than 20, then "","""")%><%=ifThen(greaterThan(400,grapher.upperBoundary*1),""adjust the upper boundary of the y-axis by increasing its value to more than 400, then "","""")%><%=ifThen(greaterThan(grapher.lowerBoundary*1,400),""change the lower boundary of the y-axis by decreasing it to less than 400, then "","""")%>click the highlighted button to add a new point to the graph.","Por favor <% = ifThen (greaterThan (20, grapher.rightBoundary * 1), ""ajusta el límite derecho del eje x cambiando su valor a mayor que 20, luego"", """")%> <% = ifThen (greaterThan (grapher.leftBoundary * 1,20), ""ajusta el límite izquierdo del eje x bajándolo a menos de 20, luego"", """")%> <% = ifThen (greaterThan (400, grapher.upperBoundary * 1 ), ""ajustar el límite superior del eje y aumentando su valor a más de 400, luego"", """")%> <% = ifThen (greaterThan (grapher.lowerBoundary * 1,400), ""cambiar el límite inferior del eje y disminuyéndolo a menos de 400, luego "","" "")%> haga clic en el botón resaltado para agregar un nuevo punto al gráfico.",%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(929285225039203671)%,Name quantities,Cantidades de nombre,%(929285225039203671)%,Name quantities,Cantidades de nombre,%(930418088939641190)%,The y-axis is where you enter the dependent quantity. What would be a good name for the dependent quantity?,El eje y es donde ingresa la cantidad dependiente. ¿Cuál sería un buen nombre para la cantidad dependiente?,%(929285225039203671)%,Name quantities,Cantidades de nombre
%(929285225039203671)%,Name quantities,Cantidades de nombre,%(3753010204750753286)%,"No, this is not correct. Try to <%=ifThen(greaterThan(1,grapher.rightBoundary*1),""adjust the right boundary of the x-axis by changing its value to higher than 1, then "","""")%><%=ifThen(greaterThan(grapher.leftBoundary*1,1),""adjust the left boundary of the x-axis by lowering it to less than 1, then "","""")%><%=ifThen(greaterThan(99,grapher.upperBoundary*1),""adjust the upper boundary of the y-axis by increasing its value to more than 99, then "","""")%><%=ifThen(greaterThan(grapher.lowerBoundary*1,99),""change the lower boundary of the y-axis by decreasing it to less than 99, then "","""")%><%=ifThen(greaterThan((grapher.upperBoundary-grapher.lowerBoundary)/grapher.yStep,40),""change the y-axis scale to make it easier to add the point, then "","""")%><%=ifThen(greaterThan((grapher.rightBoundary-grapher.leftBoundary)/grapher.xStep,40),""change the x-axis scale to make it easier to add the point, then "","""")%>place the point at a <%=quantity1%> of 1 <%=ifThen(hasValue(unit1),unit1,""seconds"")%> (left-to-right) and a <%=quantity2%> of 99 <%=ifThen(hasValue(unit2),unit2,""floors"")%> (bottom-to-top).","No, esto no es correcto. 
Intente <% = ifThen (greaterThan (1, grapher.rightBoundary * 1), ""ajustar el límite derecho del eje x cambiando su valor a mayor que 1, luego"", """")%> <% = ifThen ( greaterThan (grapher.leftBoundary * 1,1), ""ajusta el límite izquierdo del eje x reduciéndolo a menos de 1, luego"", """")%> <% = ifThen (greaterThan (99, grapher.upperBoundary * 1), ""ajusta el límite superior del eje y aumentando su valor a más de 99, luego"", """")%> 
<% = ifThen (greaterThan (grapher.lowerBoundary * 1,99), ""cambia el límite del eje y disminuyéndolo a menos de 99, luego "","" "")%> <% = ifThen (greaterThan ((grapher.upperBoundary-grapher.lowerBoundary) /grapher.yStep,40),"" cambia el y -axis scale para facilitar la adición del punto, luego "","" "")%> <% = ifThen (greaterThan ((grapher.rightBoundary-grapher.leftBoundary) /grapher.xStep,40),"" cambiar el eje x escala para que sea más fácil agregar el punto, luego "","" "")%> coloque el punto en un <% = cantidad1%> de 1 <% = ifThen (hasValue (unit1), unit1,"" segundos"")%> ( de izquierda a derecha) y un <% = cantidad2%> de 99 <% = ifThen (hasValue (unidad2), unidad2, ""pisos"")%> (de abajo hacia arriba).",%(929285225039203671)%,Name quantities,Cantidades de nombre,%(929285225039203671)%,Name quantities,Cantidades de nombre,%(4151602009805810386)%,"<%=ifThen(hasValue(grapher.labelX),concat(""You named the x-axis '"",grapher.labelX,""'.""),""The dependent quantity depends on the independent quantity. In this case: workers needed depends on machines needed."")%>","<% = ifThen (hasValue (grapher.labelX), concat (""Nombraste el eje x '"", grapher.labelX, ""'.""), ""La cantidad dependiente depende de la cantidad independiente. En este caso: se necesitan trabajadores depende de las máquinas necesarias. "")%>",%(-9039505016470325264)%,It says <%=quantity2%> (= y) EQUALS <%=quantity1%> (= x) TIMES -120+ 3000.,Dice <% = cantidad2%> (= y) IGUAL A <% = cantidad1%> (= x) MULTIPLICADO POR -120+ 3000.,%(5553735060707267400)%,"No, this is not correct. The unit for the y-axis is ""pieces of fruit"".","No, esto no es correcto. La unidad para el eje y es ""piezas de fruta"".",%(-8579618507900891464)%,"<%=ifThen(hasValue(grapher.unitX),""The left column unit should be the same as the unit on the x-axis."",""Look at the introduction: it says he's at 1200 ft above sealevel and goes down 25 ft every second. What measurement would you use for time?"")%>","<% = ifThen (hasValue (grapher.unitX), ""La unidad de la columna izquierda debe ser la misma que la unidad en el eje x."", ""Mira la introducción: dice que está a 1200 pies sobre el nivel del mar y baja 25 ft cada segundo. ¿Qué medida usarías para el tiempo? "")%>",%(-356044300865121078)%,"No, this is not correct. What is the time in question 2?","No, esto no es correcto. ¿Qué hora es en la pregunta 2?"
%(-3361237594464381424)%,"No, this is not correct. Of the 42 people lining up, six leave every minute. What would the the line be when the time is 4 minutes?","No, esto no es correcto. De las 42 personas que hacen cola, seis se van cada minuto. ¿Cuál sería la línea cuando el tiempo sea de 4 minutos?",%(-7459827504881669181)%,The <%=quantity1%> is at 25 <%=unit1%>.,La <% = cantidad 1%> está al 25 <% = unidad 1%>.,%(7355771571812827552)%,"The <%=quantity1%> is from left-to-right and is 12 <%=ifThen(hasValue(unit1),unit1,""months"")%>. The <%=quantity2%> is from bottom-to-top and is 6600 <%=ifThen(hasValue(unit2),unit2,""dollars"")%>. Click on the spot where 12 <%=ifThen(hasValue(unit1),unit1,""months"")%> and 6600 <%=ifThen(hasValue(unit2),unit2,""dollars"")%> intersect (meet). <%=ifThen(greaterThan((grapher.upperBoundary-grapher.lowerBoundary)/grapher.yStep,40),concat(""Change the y-axis scale to get a grid line for 6600 "",unit2,"".""),"""")%>","La <% = cantidad1%> es de izquierda a derecha y es 12 <% = ifThen (hasValue (unit1), unit1, ""meses"")%>. La <% = cantidad2%> es de abajo hacia arriba y es 6600 <% = ifThen (hasValue (unit2), unit2, ""dólares"")%>. Haga clic en el lugar donde 12 <% = ifThen (hasValue (unidad1), unidad1, ""meses"")%> y 6600 <% = ifThen (hasValue (unidad2), unidad2, ""dólares"")%> se cruzan (encuentro). <% = ifThen (greaterThan ((grapher.upperBoundary-grapher.lowerBoundary) /grapher.yStep,40), concat (""Cambiar la escala del eje y para obtener una línea de cuadrícula para 6600"", unidad2, "".""), "" "")%>",%(-988028586559136621)%,"Please <%=ifThen(greaterThan(14,grapher.rightBoundary*1),""adjust the right boundary of the x-axis by changing its value to higher than 14, then "","""")%><%=ifThen(greaterThan(grapher.leftBoundary*1,14),""adjust the left boundary of the x-axis by lowering it to less than 14, then "","""")%><%=ifThen(greaterThan(520,grapher.upperBoundary*1),""adjust the upper boundary of the y-axis by increasing its value to more than 520, then "","""")%><%=ifThen(greaterThan(grapher.lowerBoundary*1,520),""change the lower boundary of the y-axis by decreasing it to less than 520, then "","""")%>click the highlighted button to add a new point to the graph. After pressing the button, click where the point should go.","Por favor <% = ifThen (greaterThan (14, grapher.rightBoundary * 1), ""ajusta el límite derecho del eje x cambiando su valor a mayor que 14, luego"", """")%> <% = ifThen (greaterThan (grapher.leftBoundary * 1,14), ""ajusta el límite izquierdo del eje x bajándolo a menos de 14, luego"", """")%> <% = ifThen (greaterThan (520, grapher.upperBoundary * 1 ), ""ajusta el límite superior del eje y aumentando su valor a más de 520, luego"", """")%> <% = ifThen (greaterThan (grapher.lowerBoundary * 1,520), ""cambia el límite inferior del eje y disminuyéndolo a menos de 520, luego "","" "")%> haga clic en el botón resaltado para agregar un nuevo punto al gráfico. Después de presionar el botón, haga clic donde debe ir el punto.",%(929285225039203671)%,Name quantities,Cantidades de nombre,%(-356044300865121078)%,"No, this is not correct. What is the time in question 2?","No, esto no es correcto. ¿Qué hora es en la pregunta 2?",%(-7459827504881669181)%,The <%=quantity1%> is at 25 <%=unit1%>.,La <% = cantidad 1%> está al 25 <% = unidad 1%>.,%(929285225039203671)%,Name quantities,Cantidades de nombre,%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = input%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% = input%>"" en la columna de la derecha en lugar de la columna de la izquierda."
%(-356044300865121078)%,"No, this is not correct. What is the time in question 2?","No, esto no es correcto. ¿Qué hora es en la pregunta 2?",%(294240896446503835)%,It says y EQUALS x TIMES -2 + 101.,Dice y ES IGUAL A x VECES -2 + 101.,"<%=ifThen(greaterThan((grapher.rightBoundary-grapher.leftBoundary)/grapher.xStep,40),concat(""Change the x-axis scale to get a grid line for 12"",unit1,"".""),"""")%>",,,%(-356044300865121078)%,"No, this is not correct. What is the time in question 2?","No, esto no es correcto. ¿Qué hora es en la pregunta 2?",%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = input%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% = input%>"" en la columna de la derecha en lugar de la columna de la izquierda.",%(-7459827504881669181)%,The <%=quantity1%> is at 25 <%=unit1%>.,La <% = cantidad 1%> está al 25 <% = unidad 1%>.,%(4830423423973910799)%,The <%=quantity1%> is at 50 <%=unit1%>.,La <% = cantidad 1%> está al 50 <% = unidad 1%>.,%(-8593792785362793658)%,"(60,-300)","(60,-300)",%(8230610273061812561)%,"-20,420","-20,420"
%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = input%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% = input%>"" en la columna de la derecha en lugar de la columna de la izquierda.",%(-2829203386634897323)%,"Look at the third question: ""What floor will Vincent be at after twelve seconds?"" What is the time here?","Mire la tercera pregunta: ""¿En qué piso estará Vincent después de doce segundos?"" ¿Qué hora es aquí?",%(-6252631265360881135)%,"Read this line carefully: ""Every month he pays off $300 of the $10,200 he owes."". Try to make this an equation in the form y = x * ...","Lea esta línea con atención: ""Cada mes paga $ 300 de los $ 10,200 que debe"". Intenta hacer de esto una ecuación en la forma y = x * ...",%(-8962978798936019228)%,"Yes, ""<%=input%>"" is the dependent quantity. Try to enter the dependent quantity ""<%=input%>"" in right column instead of the left column.","Sí, ""<% = input%>"" es la cantidad dependiente. Intente ingresar la cantidad dependiente ""<% = input%>"" en la columna de la derecha en lugar de la columna de la izquierda.",%(-3629169022972806215)%,"Please <%=ifThen(greaterThan(25,grapher.rightBoundary*1),""adjust the right boundary of the x-axis by changing its value to higher than 25, then "","""")%><%=ifThen(greaterThan(grapher.leftBoundary*1,25),""adjust the left boundary of the x-axis by lowering it to less than 25, then "","""")%><%=ifThen(greaterThan(600,grapher.upperBoundary*1),""adjust the upper boundary of the y-axis by increasing its value to more than 600, then "","""")%><%=ifThen(greaterThan(grapher.lowerBoundary*1,600),""change the lower boundary of the y-axis by decreasing it to less than 600, then "","""")%>click the highlighted button to add a new point to the graph. After pressing the button, click where the point should go.","<% = IfThen (greaterThan (25, grapher.rightBoundary * 1), ""ajusta el límite derecho del eje x cambiando su valor a más de 25, luego"", """")%> <% = ifThen (greaterThan (grapher.leftBoundary * 1,25), ""ajusta el límite izquierdo del eje x bajándolo a menos de 25, luego"", """")%> <% = ifThen (greaterThan (600, grapher.upperBoundary * 1 ), ""ajusta el límite superior del eje y aumentando su valor a más de 600, luego"", """")%> <% = ifThen (greaterThan (grapher.lowerBoundary * 1,600), ""cambia el límite inferior del eje y disminuyéndolo a menos de 600, luego "","" "")%> haga clic en el botón resaltado para agregar un nuevo punto al gráfico. Después de presionar el botón, haga clic donde debe ir el punto.",%(-6225916818492911083)%,"Please enter '<%=ifThen(hasValue(quantity2),quantity2,""leafs left"")%>' in the highlighted field.","Por favor ingrese '<% = if Then (hasValue (cantidad2), cantidad 2, ""hojas a la izquierda"")%>' en el campo resaltado.",%(2722103725247113228)%,5. How many people can come by before you run out of fruit?,5. ¿Cuántas personas pueden venir antes de que se acabe la fruta?,%(-356044300865121078)%,"No, this is not correct. What is the time in question 2?","No, esto no es correcto. ¿Qué hora es en la pregunta 2?",%(6400019251)%,2,2
%(5476842949540776546)%,x * -6+ 42,x * -6+ 42,%(-5299908541027015257)%,"The point '(50,1)' is highlighted on the graph. Click it to add the point.","El punto '(50,1)' se resalta en el gráfico. Haga clic en él para agregar el punto.",%(5605142425168181665)%,"Look at the fifth question: ""After how many months will his debt be payed off?"" What is the <%=quantity2%> here?","Mire la quinta pregunta: ""¿Después de cuántos meses se saldará su deuda?"" ¿Cuál es la <% = cantidad 2%> aquí?",%(6400019251)%,2,2,%(-465104720153335662)%,machines needed,maquinas necesarias,%(6400019251)%,2,2,%(-6927722927926579537)%,Please enter '50' in the highlighted field.,"Por favor, ingrese '50' en el campo resaltado.",%(3968758728464141121)%,"No, this is not correct. Try to <%=ifThen(greaterThan(33,grapher.rightBoundary*1),""adjust the right boundary of the x-axis by changing its value to higher than 33, then "","""")%><%=ifThen(greaterThan(grapher.leftBoundary*1,33),""adjust the left boundary of the x-axis by lowering it to less than 33, then "","""")%><%=ifThen(greaterThan(375,grapher.upperBoundary*1),""adjust the upper boundary of the y-axis by increasing its value to more than 375, then "","""")%><%=ifThen(greaterThan(grapher.lowerBoundary*1,375),""change the lower boundary of the y-axis by decreasing it to less than 375, then "","""")%><%=ifThen(greaterThan((grapher.upperBoundary-grapher.lowerBoundary)/grapher.yStep,40),""change the y-axis scale to make it easier to add the point, then "","""")%><%=ifThen(greaterThan((grapher.rightBoundary-grapher.leftBoundary)/grapher.xStep,40),""change the x-axis scale to make it easier to add the point, then "","""")%>place the point at a <%=quantity1%> of 33 <%=ifThen(hasValue(unit1),unit1,""seconds"")%> (left-to-right) and a <%=quantity2%> of 375 <%=ifThen(hasValue(unit2),unit2,""feet"")%> (bottom-to-top).","No, esto no es correcto. Intente <% = ifThen (greaterThan (33, grapher.rightBoundary * 1), ""ajustar el límite derecho del eje x cambiando su valor a más de 33, luego"", """")%> <% = ifThen ( greaterThan (grapher.leftBoundary * 1,33), ""ajusta el límite izquierdo del eje x bajándolo a menos de 33, luego"", """")%> <% = ifThen (greaterThan (375, grapher.upperBoundary * 1), ""ajusta el límite superior del eje y aumentando su valor a más de 375, luego"", """")%> <% = ifThen (mayorThan (grapher.lowerBoundary * 1375), ""cambia el límite inferior de el eje y disminuyéndolo a menos de 375, luego "","" "")%> <% = ifThen (greaterThan ((grapher.upperBoundary-grapher.lowerBoundary) /grapher.yStep,40),"" cambia el eje y scale para que sea más fácil agregar el punto, luego "","" "")%> <% = ifThen (greaterThan ((grapher.rightBoundary-grapher.leftBoundary) /grapher.xStep,40),"" cambia la escala del eje x a hacer que sea más fácil agregar el punto, luego "","" "")%> colocar el punto en un <% = cantidad1%> de 33 <% = ifThen (hasValue (unit1), unit1,"" segundos"")%> (de izquierda a derecha) y a <% = quantity2%> de 375 <% = ifThen (hasValue (unit2), unit2, ""pies"")%> (de abajo hacia arriba).",%(4814038714634610468)%,21.1,21.1
%(6400019251)%,2,2,%(9036483480251455733)%,In what unit would you measure height?,¿En qué unidad medirías la altura?,%(8230610273061812561)%,"-20,420","-20,420",%(8456997569220649289)%,"The point '(40,0)' is highlighted on the graph. Click it to add the point.","El punto '(40,0)' se resalta en el gráfico. Haga clic en él para agregar el punto.",%(6400019251)%,2,2,%(-3180857396933869055)%,In what unit would you measure time?,¿En qué unidad medirías el tiempo?,%(-317561600556267686)%,"(40,40)","(40,40)",%(8508599841190401237)%,"No, this is not correct. The spy is at an elvation of 1200 feet and drops 25 feet every second. What would the elevation be when the time is 16 seconds?","No, esto no es correcto. El espía está a una altura de 1200 pies y cae 25 pies por segundo. ¿Cuál sería la elevación cuando el tiempo sea de 16 segundos?",%(-3180857396933869055)%,In what unit would you measure time?,¿En qué unidad medirías el tiempo?
%(-3180857396933869055)%,In what unit would you measure time?,¿En qué unidad medirías el tiempo?,%(-6927722927926579537)%,Please enter '50' in the highlighted field.,"Por favor, ingrese '50' en el campo resaltado.",%(6400019251)%,2,2,%(-3180857396933869055)%,In what unit would you measure time?,¿En qué unidad medirías el tiempo?,%(-6703538792481716668)%,"No, this is not correct. What is the machines needed in question 1?",No esto no es correcto. ¿Cuáles son las máquinas necesarias en la pregunta 1?,%(6202714164019782550)%,leafs,hojas,%(7598384568744437132)%,"Look at the second question: ""If 20 people come by, what will you have left?"" What is the people coming by here?","Mira la segunda pregunta: ""Si pasan 20 personas, ¿Qué te quedará?"" ¿Qué viene la gente por aquí?",%(3786999661677797915)%,Please enter '83' in the highlighted field.,"Por favor, ingrese '83' en el campo resaltado.",%(-8162729701541550095)%,"No, this is not correct. Try to <%=ifThen(greaterThan(-5,grapher.rightBoundary*1),""adjust the right boundary of the x-axis by changing its value to higher than -5, then "","""")%><%=ifThen(greaterThan(grapher.leftBoundary*1,-5),""adjust the left boundary of the x-axis by lowering it to less than -5, then "","""")%><%=ifThen(greaterThan(56.1,grapher.upperBoundary*1),""adjust the upper boundary of the y-axis by increasing its value to more than 56.1, then "","""")%><%=ifThen(greaterThan(grapher.lowerBoundary*1,56.1),""change the lower boundary of the y-axis by decreasing it to less than 56.1, then "","""")%><%=ifThen(greaterThan((grapher.upperBoundary-grapher.lowerBoundary)/grapher.yStep,40),""change the y-axis scale to make it easier to add the point, then "","""")%><%=ifThen(greaterThan((grapher.rightBoundary-grapher.leftBoundary)/grapher.xStep,40),""change the x-axis scale to make it easier to add the point, then "","""")%>place the point at a <%=quantity1%> of -5 <%=ifThen(hasValue(unit1),unit1,""years"")%> (left-to-right) and a <%=quantity2%> of 56.1 <%=ifThen(hasValue(unit2),unit2,""billion letters"")%> (bottom-to-top).","No, esto no es correcto. Intente <% = ifThen (greaterThan (-5, grapher.rightBoundary * 1), ""ajustar el límite derecho del eje x cambiando su valor a más alto que -5, luego"", """")%> <% = ifThen (greaterThan (grapher.leftBoundary * 1, -5), ""ajusta el límite izquierdo del eje x reduciéndolo a menos de -5, luego"", """")%> <% = ifThen (greaterThan (56.1, grapher.upperBoundary * 1), ""ajusta el límite superior del eje y aumentando su valor a más de 56,1, luego"", """")%> <% = ifThen (greaterThan (grapher.lowerBoundary * 1,56.1) ""cambia el límite inferior del eje y disminuyéndolo a menos de 56,1, luego"", """")%> <% = ifThen (greaterThan ((grapher.upperBoundary-grapher.lowerBoundary) /grapher.yStep,40), ""cambia la escala del eje y para que sea más fácil agregar el punto, luego"", """")%> <% = ifThen (greaterThan ((grapher.rightBoundary-grapher.leftBoundary) /grapher.xStep,40), ""cambiar la escala del eje x para facilitar la adición del punto, luego "","" "")%> coloque el punto en un <% = cantidad1%> de -5 <% = ifThen (hasValue (unit1), unit1,"" años"")%> (de izquierda a derecha) y un <% = cantidad2%> de 56,1 <% = ifThen (hasValue (unidad2), unidad2, ""mil millones de letras"")%> (de abajo hacia arriba)."
