Problem Name	1	2	3	4	5	6	7	8
%(startStateNodeName)%	example1	example2	example3
%(statement)%	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."	"Using the set of shapes in the picture, answer questions 1 through 4 in the worksheet provided."
%(graphic)%	Assets/01.png	Assets/02.png	Assets/03.png	Assets/04.png	Assets/05.png	Assets/06.png	Assets/07.png	Assets/08.png
%(question1)%	(1) What percent of the shapes are %(type1)%?	(1) What percent of the shapes are %(type1)%?	(1) What percent of the shapes are %(type1)%?	(1) What percent of the shapes are %(type1)%?	(1) What percent of the shapes are %(type1)%?	(1) What percent of the shapes are %(type1)%?	(1) What percent of the shapes are %(type1)%?	(1) What percent of the shapes are %(type1)%?
%(question2)%	(2) What percent of the shapes are %(type2)%?	(2) What percent of the shapes are %(type2)%?	(2) What percent of the shapes are %(type2)%?	(2) What percent of the shapes are %(type2)%?	(2) What percent of the shapes are %(type2)%?	(2) What percent of the shapes are %(type2)%?	(2) What percent of the shapes are %(type2)%?	(2) What percent of the shapes are %(type2)%?
%(question3)%	(3) What percent of the shapes are %(type3)%?	(3) What percent of the shapes are %(type3)%?	(3) What percent of the shapes are %(type3)%?	(3) What percent of the shapes are %(type3)%?	(3) What percent of the shapes are %(type3)%?	(3) What percent of the shapes are %(type3)%?	(3) What percent of the shapes are %(type3)%?	(3) What percent of the shapes are %(type3)%?
%(question4)%	(4) What percent of the shapes are %(type4)%?	(4) What percent of the shapes are %(type4)%?	(4) What percent of the shapes are %(type4)%?	(4) What percent of the shapes are %(type4)%?	(4) What percent of the shapes are %(type4)%?	(4) What percent of the shapes are %(type4)%?	(4) What percent of the shapes are %(type4)%?	(4) What percent of the shapes are %(type4)%?
%(type1)%	squares	green	yellow	circles	red or blue	not yellow	squares	blue circles
%(type2)%	purple	yellow	circles	yellow	not purple	red circles	purple	yellow or green
%(type3)%	not blue	blue	not yellow	green or blue	squares	purple	yellow or blue	not purple
%(type4)%	red	not blue	blue or red	squares	blue squares	not red	circles	squares
%(tar1)%	100	1	5	10	7	38	2	3
%(tar2)%	20	8	25	5	9	14	1	6
%(tar3)%	60	5	45	20	4	9	4	12
%(tar4)%	5	15	35	15	1	26	3	9
%(tot)%	100	20	50	25	10	40	5	15

%(100ratio1)%	100/100	5/100	10/100	40/100	70/100	95/100	40/100	20/100
%(100ratio2)%	20/100	40/100	50/100	20/100	90/100	35/100	20/100	40/100
%(100ratio3)%	60/100	25/100	90/100	80/100	40/100	22.5/100	80/100	80/100
%(100ratio4)%	5/100	75/100	70/100	60/100	10/100	65/100	60/100	60/100
%(percent1)%	100	5	10	40	70	95	40	20
%(percent2)%	20	40	50	20	90	35	20	40
%(percent3)%	60	25	90	80	40	22.5	80	80
%(percent4)%	5	75	70	60	10	65	60	60
%(decimal1)%	1	0.05	0.1	0.4	0.7	0.95	0.4	0.2
%(decimal2)%	0.2	0.4	0.5	0.2	0.9	0.35	0.2	0.4
%(decimal3)%	0.6	0.25	0.9	0.8	0.4	0.225	0.8	0.8
%(decimal4)%	0.05	0.75	0.7	0.6	0.1	0.65	0.6	0.6
%(redfrac1)%	1	1/20	1/10	2/5	7/10	19/20	2/5	1/5
%(redfrac2)%	1/5	2/5	1/2	1/5	9/10	7/20	1/5	2/5
%(redfrac3)%	3/5	1/4	9/10	4/5	2/5	9/40	4/5	4/5
%(redfrac4)%	1/20	3/4	7/10	3/5	1/10	13/20	3/5	3/5

%(shapeORitem)%	shapes	shapes	shapes	shapes	pieces	shapes	shapes	shapes
%(pictureORgraph)%	in the picture	in the picture	in the picture	in the picture	in the picture	in the picture	in the picture	in the picture
%(gcf1)%	100	1	5	5	1	2	1	3
%(gcf2)%	20	4	25	5	1	2	1	3
%(gcf3)%	20	5	5	5	2	1	1	3
%(gcf4)%	5	5	5	5	1	2	1	3

%(tot1)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%
%(tot2)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%
%(tot3)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%
%(tot4)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%
%(bugTot1)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
%(bugTot2)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
%(bugTot3)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
%(bugTot4)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
%(bugMsg1)%	-	-	-	-	-	-	-	-
%(bugMsg2)%	-	-	-	-	-	-	-	-
%(bugMsg3)%	-	-	-	-	-	-	-	-
%(bugMsg4)%	-	-	-	-	-	-	-	-

%(q1-target-h1)%	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."
%(q1-target-h2)%	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?
%(q2-target-h1)%	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."
