Problem Name	1	2	3	4	5	6	7	8
%(startStateNodeName)%						state54	state12	state2
%(Problem_intro1)%	1. Enter 0.921 to show the place value of each digit (simplest form).	1. Enter 6.39 to show the place value of each digit (simplest form).	1. Enter 6.21 to show the place value of each digit (simplest form).	1. Enter .476 to show the place value of each digit (simplest form).	1. Enter 0.065 to show the place value of each digit (simplest form).	1. Enter 3.142 to show the place value of each digit (simplest form).	1. Enter 0.808 to show the place value of each digit (simplest form).	1. Enter 2.71 to show the place value of each digit (simplest form).
%(Problem_intro2)%	2. What if the number of hundredths is 0?	2. What if the number of thousandths is 100?	2. What if the number of hundredths is 21?	2. What if the number of hundredths is 26?	2. What if the number of thousandths is 55?	2. What if the number of hundredths is 14?	2. What if the number of thousandths is 18?	2. What if the number of tenths is 17?
%(Problem_intro3)%	3. What if you have 5 tenths?	3. What if you have 19 hundredths?	3. What if you have 19 hundredths?	3. What if you have 0 tenths?	3. What if you have 3 hundredths?	3. What if you have 22 thousandths?	3. What if you have 10 hundredths?	3. What if you have 100 thousandths?
								
								
%(link_r2_mostLeft)%	r2c1	r2c1	r2c1	r2c1	r2c1	r2c1	r2c1	r2c1
%(link_r2_Center)%	r2c2	r2c2	r2c2	r2c2	r2c2	r2c2	r2c2	r2c3
%(link_r2_mostRight)%	r2c4	r2c3	r2c4	r2c4	r2c3	r2c4	r2c3	r2c4
%(given_value_r2)%	r2c3	r2c4	r2c3	r2c3	r2c4	r2c3	r2c4	r2c2
%(value_r2)%	0	100	21	26	55	14	18	17
								
%(link_r3_mostLeft)%	r3c1	r3c1	r3c1	r3c1	r3c1	r3c1	r3c1	r3c1
%(link_r3_Center)%	r3c3	r3c2	r3c2	r3c3	r3c2	r3c2	r3c2	r3c2
%(link_r3_mostRight)%	r3c4	r3c4	r3c4	r3c4	r3c4	r3c3	r3c4	r3c3
%(given_value_r3)%	r3c2	r3c3	r3c3	r3c2	r3c3	r3c4	r3c3	r3c4
%(value_r3)%	5	19	19	0	3	22	10	100
								
%(totalTableDecValue_r2_mostLeft)%	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4	input, r2c2, r2c3, r2c4
%(totalTableDecValue_r2_Center)%	r2c1, input, r2c3, r2c4	r2c1, input, r2c3, r2c4	r2c1, input, r2c3, r2c4	r2c1, input, r2c3, r2c4	r2c1, input, r2c3, r2c4	r2c1, input, r2c3, r2c4	r2c1, input, r2c3, r2c4	r2c1, r2c2, input, r2c4
%(totalTableDecValue_r2_mostRight)%	r2c1, r2c2, r2c3, input	r2c1, r2c2, input, r2c4	r2c1, r2c2, r2c3, input	r2c1, r2c2, r2c3, input	r2c1, r2c2, input, r2c4	r2c1, r2c2, r2c3, input	r2c1, r2c2, input, r2c4	r2c1, r2c2, r2c3, input
								
