Problem Name	Problem 1	Problem 2	Problem 3	Problem 12	Problem 13	Problem 14	Problem 15	Problem 21
%(startStateNodeName)%		state7	state4					
%(1)%	"Jennifer went on a trip. When she had driven 7/10 of the distance, she had gone 140 miles."	"Andrew goes to the gym to work out. When he's done 4/5 of his workout, he has exercised for 72 minutes."	"Max is shoveling snow off of his driveway. After shoveling 15 feet, he was 3/4 done. What is the total length of his driveway?"	"Bruce goes to the swimming pool. When he has done 6/7 of his laps, he has swum 42 laps."	"Kristina needs to fill her car with gas for a road trip. Right now, it is 3/5 full. Kristina knows that when it is 3/5 full, there are 9 gallons of gas in the car."	Jessica has just finished 9/10 of her research paper in 45 minutes. How much time will it take her to finish the entire paper?	"Johnny is a student taking a flight from Los Angeles to Tokyo in a cultural exchange program. After 3652 miles, Johnny has completed 2/3 of his journey."	"Annie's scout troop is selling boxes of cookies as a fundraiser for their trip to Orlando. They have sold 187 boxes of cookies in the first month, which is 11/15 of their goal."
%(2)%	How many miles had Jennifer driven?	How many minutes has Andrew been exercising?	How many feet has Max shoveled?	How many laps has Bruce swum?	How many gallons of gas are in the gas tank?	How long has Jessica been writing her paper?	How many miles has Johnny flown?	How many boxes of cookies has Annie's scout troop sold?
%(3)%	What fraction of the distance had Jennifer driven?	What fraction of his workout has he done?	What fraction of his driveway has Max shoveled?	What fraction of his laps has he done?	What fraction of the gas tank is filled?	What fraction of the paper is complete?	What fraction of the distance has Johnny flown?	What fraction of the goal have they sold?
%(4)%	How many miles was 1/10 of the trip?	How many minutes is 1/5 of Andrew's workout?	How many feet is 1/4 of the length of the driveway?	How many laps is 1/7 of Bruce's swim?	How many gallons of gas is 1/5 of Kristina's gas tank?	How long does it take Jessica to write 1/10 of the paper?	How many miles correspond to 1/3 of the journey?	How many boxes is 1/15 of the goal?
%(5)%	How many total miles was Jennifer driving in this trip?	How long is Andrew's entire workout?	What is the length of Max's driveway in feet?	How many laps will Bruce swim altogether?	How many gallons of gas does Kristina's gas tank hold?	How long will it take Jessica to write the entire paper?	How many miles is the total trip from Los Angeles to Tokyo?	How many boxes do they need to sell to reach the goal?
%(6)%	How many more miles did Jennifer have to drive?	How much longer will he exercise?	How many more feet does Max have left to shovel?	How many more laps will Bruce swim?	How many gallons of gas does Kristina need to purchase to fill up her car's gas tank?	How much longer will it take Jessica to write the paper?	How many miles are left to complete the journey?	How many boxes of cookies do they still need to sell?
								
%(given)%	140	72	15	42	9	45	3652	187
%(numer)%	7	4	3	6	3	9	2	11
