Problem Name	01grapher	02grapher	03grapher	04grapher	05grapher	06grapher	07grapher	08grapher	09grapher	10grapher
%(startStateNodeName)%	state13	state26	state10	state216	state216	state216	state216	state216	state216	state216
										
%(feedbackmode)%	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback
%(problem_statement)%	You are walking in a forest holding a GPS device that tells you how fast you are going.	You feel bored and start counting cars driving by on the street.	A chicken farm breeds a lot of chickens for their eggs.	The coastal redwood is the tallest tree in the world.	You having been saving money for a concert ticket. So far you've saved $21.	Your phone bill depends on how many minutes you call. One minute costs 10 cents (let's pretend you do not text).	"The famous actress Gloria Glorious is shooting a movie in San Francisco. Problem is, she lives in New York so she flies across the U.S. every day of filming."	The Wild Riders Bicycle Club is pedaling from Pittsburgh to Philadelphia. The distance that they travel will depend on the amount of time that they ride.	Hopping in a taxi in New York you will see a meter that tells you how much you will have to pay.	"Catering service 'No Meat, Just Eat!' takes care of all the vegetarian snacks at parties."
%(problem_info)%	You try to walk at a constant pace of 3 miles per hour.	There are 6 cars coming by every minute.	"At one particular chicken farm, the chickens produce 150 eggs every day."	It grows an average 1.8 feet per year.	Every week you save another $6 for this ticket.	Your bill is $20 plus the cost for the minutes you have used.	A return ticket from New York to San Francisco and back costs $550.	They are riding 8 hours a day at a constant pace of 21 miles per hour.	The meter starts at $2.50 and adds $1.50 every mile.	They provide catering of 15 snacks per guest plus 60 snacks as backup.
										
%(instructions_1)%	"Now, use the line you have drawn to answer 4 and 5 below."	"Now, use the line you have drawn to answer 4 and 5 below."	"Now, use the line you have drawn to answer 4 and 5 below."	"Now, use the line you have drawn to answer 4 and 5 below."	"Now, use the line you have drawn to answer 4 and 5 below."	"Now, use the line you have drawn to answer 4 and 5 below."	"Now, use the line you have drawn to answer 4 and 5 below."	"Now, use the line you have drawn to answer 4 and 5 below."	"Now, use the line you have drawn to answer 4 and 5 below."	"Now, use the line you have drawn to answer 4 and 5 below."
%(instructions_2)%	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.
%(instructions_3)%	"Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph."	"Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph."	"Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph."	"Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph."	"Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph."	"Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph."	"Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph."	"Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph."	"Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph."	"Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph."
%(instructions_4)%	"Now that you have two points, you can draw a line between them as well, by clickng on them."	"Now that you have two points, you can draw a line between them as well, by clickng on them."	"Now that you have two points, you can draw a line between them as well, by clickng on them."	"Now that you have two points, you can draw a line between them as well, by clickng on them."	"Now that you have two points, you can draw a line between them as well, by clickng on them."	"Now that you have two points, you can draw a line between them as well, by clickng on them."	"Now that you have two points, you can draw a line between them as well, by clickng on them."	"Now that you have two points, you can draw a line between them as well, by clickng on them."	"Now that you have two points, you can draw a line between them as well, by clickng on them."	"Now that you have two points, you can draw a line between them as well, by clickng on them."
%(instructions_5)%	"Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values."	"Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values."	"Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values."	"Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values."	"Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values."	"Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values."	"Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values."	"Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values."	"Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values."	"Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values."
