Problem Name	01negativeslope	02negativeslope	03negativeslope	04negativeslope	05negativeslope	06negativeslope	07negativeslope	08negativeslope	09negativeslope
%(startStateNodeName)%	state13	state26	state10	state216	state216	state216	state216	state216	state216
									
%(feedbackmode)%	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback	Show All Feedback
%(problem_statement)%	You standing in line to get some frozen yogurt. There are a lot of people lining up.	The world's fastest elevator is in the Taipei 101 building in Taiwan.	Barry is paying off a loan from a bank he got to buy a car.	You are allowed to send a limited number of text messages each month.	Jim owns a factory that makes clothes. He wants to built another one, and he needs machines and human workers to operate it.	It is fall and the trees in Pittsburgh begin to shed their leafs.	On a school fair you are handing out free fruit.	An American spy just found a hidden elevator on the top of a mountain, on a secret island. He decides this could be the secret base he is looking for. Taking the elevator down he looks at his height meter app:	Since e-mail and text messaging are increasingly popular, less normal mail is sent every year. 
%(problem_info)%	You count that there are 42 people in front of you. The cashier helps 6 customers every minute.	It goes 2 floors per second and Vincent is riding it going down from the 101st floor.	Every month he pays off $300 of the $10,200 he owes.	Your current plan allows for 800 texts each month. You send 20 messages each day.	A factory needs 900 people to make clothes if it has no machines. Each machine Jim buys replaces twelve workers.	A particular oak has 3000 leafs left today and loses 120 every day.	You have 200 pieces of fruit and hand out four pieces to anybody that comes by.	it says he's at 1200 ft above sea level and goes down 25 ft every second.	In 2006, there were 43.6 billion letters sent in the US. This number decreases by 2.5 billion every year.
									
%(instructions_1)%	Now, use the line you have drawn to answer 4 and 5 below.	Now, use the line you have drawn to answer 4 and 5 below.	Now, use the line you have drawn to answer 4 and 5 below.	Now, use the line you have drawn to answer 4 and 5 below.	Now, use the line you have drawn to answer 4 and 5 below.	Now, use the line you have drawn to answer 4 and 5 below.	Now, use the line you have drawn to answer 4 and 5 below.	Now, use the line you have drawn to answer 4 and 5 below.	Now, use the line you have drawn to answer 4 and 5 below.
%(instructions_2)%	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.
%(instructions_3)%	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.
%(instructions_4)%	Now that you have two points, you can draw a line between them as well, by clickng on them.	Now that you have two points, you can draw a line between them as well, by clickng on them.	Now that you have two points, you can draw a line between them as well, by clickng on them.	Now that you have two points, you can draw a line between them as well, by clickng on them.	Now that you have two points, you can draw a line between them as well, by clickng on them.	Now that you have two points, you can draw a line between them as well, by clickng on them.	Now that you have two points, you can draw a line between them as well, by clickng on them.	Now that you have two points, you can draw a line between them as well, by clickng on them.	Now that you have two points, you can draw a line between them as well, by clickng on them.
%(instructions_5)%	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.	Enter the y-coordinates in the table, then plot the points on the line. You can use the points to read-off the x-values.
%(instructions_6)%	Please work to define the equation of the line.	Please work to define the equation of the line.	Please work to define the equation of the line.	Please work to define the equation of the line.	Please work to define the equation of the line.	Please work to define the equation of the line.	Please work to define the equation of the line.	Please work to define the equation of the line.	Please work to define the equation of the line.
									
