Problem Name	01negativeslope	01negativeslopeESP	02negativeslope	02negativeslopeESP	03negativeslope	03negativeslopeESP	04negativeslope	04negativeslopeESP	05negativeslope	05negativeslopeESP	06negativeslope	06negativeslopeESP	07negativeslope	07negativeslopeESP	08negativeslope	08negativeslopeESP	09negativeslope	09negativeslopeESP
%(startStateNodeName)%	state13	state13	state26	state26	state10	state10	state216	state216	state216	state216	state216	state216	state216	state216	state216	state216	state216	state216
																		
%(feedbackmode)%	Show All Feedback	[google]Mostrar todos los comentarios	Show All Feedback	[google]Mostrar todos los comentarios	Show All Feedback	[google]Mostrar todos los comentarios	Show All Feedback	[google]Mostrar todos los comentarios	Show All Feedback	[google]Mostrar todos los comentarios	Show All Feedback	[google]Mostrar todos los comentarios	Show All Feedback	[google]Mostrar todos los comentarios	Show All Feedback	[google]Mostrar todos los comentarios	Show All Feedback	[google]Mostrar todos los comentarios
%(problem_statement)%	You standing in line to get some frozen yogurt. There are a lot of people lining up.	[google]Estás en la fila para obtener un yogurt congelado. Hay mucha gente alineada.	The world's fastest elevator is in the Taipei 101 building in Taiwan.	[google]El ascensor más rápido del mundo se encuentra en el edificio Taipei 101 en Taiwán.	Barry is paying off a loan from a bank he got to buy a car.	[google]Barry está pagando un préstamo de un banco que tuvo que comprar un automóvil.	You are allowed to send a limited number of text messages each month.	[google]Puede enviar un número limitado de mensajes de texto cada mes.	Jim owns a factory that makes clothes. He wants to built another one, and he needs machines and human workers to operate it.	[google]Jim posee una fábrica que hace ropa. Quiere construir otro, y necesita máquinas y trabajadores humanos para operarlo.	It is fall and the trees in Pittsburgh begin to shed their leafs.	[google]Es otoño y los árboles en Pittsburgh comienzan a arrojar sus hojas.	On a school fair you are handing out free fruit.	[google]En una feria escolar está entregando fruta gratis.	An American spy just found a hidden elevator on the top of a mountain, on a secret island. He decides this could be the secret base he is looking for. Taking the elevator down he looks at his height meter app:	[google]Un espía estadounidense acaba de encontrar un ascensor oculto en la cima de una montaña, en una isla secreta. Decide que esta podría ser la base secreta que está buscando. Tomando el ascensor, mira su aplicación de medidor de altura:	Since e-mail and text messaging are increasingly popular, less normal mail is sent every year. 	[google]Dado que el correo electrónico y los mensajes de texto son cada vez más populares, se envía un correo menos normal cada año.
%(problem_info)%	You count that there are 42 people in front of you. The cashier helps 6 customers every minute.	[google]Usted considera que hay 42 personas frente a usted. El cajero ayuda a 6 clientes cada minuto.	It goes 2 floors per second and Vincent is riding it going down from the 101st floor.	[google]Va 2 pisos por segundo y Vincent lo está bajando desde el piso 101.	Every month he pays off $300 of the $10,200 he owes.	[google]Cada mes paga $ 300 de los $ 10,200 que debe.	Your current plan allows for 800 texts each month. You send 20 messages each day.	[google]Su plan actual permite 800 textos cada mes. Envías 20 mensajes cada día.	A factory needs 900 people to make clothes if it has no machines. Each machine Jim buys replaces twelve workers.	[google]Una fábrica necesita 900 personas para hacer ropa si no tiene máquinas. Cada máquina compra Jim reemplaza a doce trabajadores.	A particular oak has 3000 leafs left today and loses 120 every day.	[google]Un roble particular le quedan 3000 hojas hoy y pierde 120 todos los días.	You have 200 pieces of fruit and hand out four pieces to anybody that comes by.	[google]Tienes 200 piezas de fruta y entrega cuatro piezas a cualquiera que venga.	it says he's at 1200 ft above sea level and goes down 25 ft every second.	[google]Dice que está a 1200 pies sobre el nivel del mar y baja 25 pies cada segundo.	In 2006, there were 43.6 billion letters sent in the US. This number decreases by 2.5 billion every year.	[google]En 2006, se enviaron 43.6 mil millones de cartas en los Estados Unidos. Este número disminuye en 2.5 mil millones cada año.
																		
%(instructions_1)%	Now, use the line you have drawn to answer 4 and 5 below.	[google]Ahora, use la línea que ha dibujado para responder 4 y 5 a continuación.	Now, use the line you have drawn to answer 4 and 5 below.	[google]Ahora, use la línea que ha dibujado para responder 4 y 5 a continuación.	Now, use the line you have drawn to answer 4 and 5 below.	[google]Ahora, use la línea que ha dibujado para responder 4 y 5 a continuación.	Now, use the line you have drawn to answer 4 and 5 below.	[google]Ahora, use la línea que ha dibujado para responder 4 y 5 a continuación.	Now, use the line you have drawn to answer 4 and 5 below.	[google]Ahora, use la línea que ha dibujado para responder 4 y 5 a continuación.	Now, use the line you have drawn to answer 4 and 5 below.	[google]Ahora, use la línea que ha dibujado para responder 4 y 5 a continuación.	Now, use the line you have drawn to answer 4 and 5 below.	[google]Ahora, use la línea que ha dibujado para responder 4 y 5 a continuación.	Now, use the line you have drawn to answer 4 and 5 below.	[google]Ahora, use la línea que ha dibujado para responder 4 y 5 a continuación.	Now, use the line you have drawn to answer 4 and 5 below.	[google]Ahora, use la línea que ha dibujado para responder 4 y 5 a continuación.
%(instructions_2)%	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	[google]Lea la introducción y piense en los nombres para las cantidades y unidades. Llénalos en la mesa y los ejes gráficos.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	[google]Lea la introducción y piense en los nombres para las cantidades y unidades. Llénalos en la mesa y los ejes gráficos.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	[google]Lea la introducción y piense en los nombres para las cantidades y unidades. Llénalos en la mesa y los ejes gráficos.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	[google]Lea la introducción y piense en los nombres para las cantidades y unidades. Llénalos en la mesa y los ejes gráficos.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	[google]Lea la introducción y piense en los nombres para las cantidades y unidades. Llénalos en la mesa y los ejes gráficos.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	[google]Lea la introducción y piense en los nombres para las cantidades y unidades. Llénalos en la mesa y los ejes gráficos.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	[google]Lea la introducción y piense en los nombres para las cantidades y unidades. Llénalos en la mesa y los ejes gráficos.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	[google]Lea la introducción y piense en los nombres para las cantidades y unidades. Llénalos en la mesa y los ejes gráficos.	Read the introduction and think of names for the quantities and units. Fill them out in both the table and graph axes.	[google]Lea la introducción y piense en los nombres para las cantidades y unidades. Llénalos en la mesa y los ejes gráficos.
%(instructions_3)%	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	[google]Lea las preguntas y complete la mesa. Una vez que tenga las coordenadas X e Y para una pregunta, traiga el punto en el gráfico.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	[google]Lea las preguntas y complete la mesa. Una vez que tenga las coordenadas X e Y para una pregunta, traiga el punto en el gráfico.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	[google]Lea las preguntas y complete la mesa. Una vez que tenga las coordenadas X e Y para una pregunta, traiga el punto en el gráfico.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	[google]Lea las preguntas y complete la mesa. Una vez que tenga las coordenadas X e Y para una pregunta, traiga el punto en el gráfico.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	[google]Lea las preguntas y complete la mesa. Una vez que tenga las coordenadas X e Y para una pregunta, traiga el punto en el gráfico.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	[google]Lea las preguntas y complete la mesa. Una vez que tenga las coordenadas X e Y para una pregunta, traiga el punto en el gráfico.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	[google]Lea las preguntas y complete la mesa. Una vez que tenga las coordenadas X e Y para una pregunta, traiga el punto en el gráfico.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	[google]Lea las preguntas y complete la mesa. Una vez que tenga las coordenadas X e Y para una pregunta, traiga el punto en el gráfico.	Please read the questions and fill out the table. Once you have the x and y coordinates for a question, plot the point on the graph.	[google]Lea las preguntas y complete la mesa. Una vez que tenga las coordenadas X e Y para una pregunta, traiga el punto en el gráfico.
%(instructions_4)%	Now that you have two points, you can draw a line between them as well, by clickng on them.	[google]Ahora que tiene dos puntos, también puede dibujar una línea entre ellos, haciendo clic en ellos.	Now that you have two points, you can draw a line between them as well, by clickng on them.	[google]Ahora que tiene dos puntos, también puede dibujar una línea entre ellos, haciendo clic en ellos.	Now that you have two points, you can draw a line between them as well, by clickng on them.	[google]Ahora que tiene dos puntos, también puede dibujar una línea entre ellos, haciendo clic en ellos.	Now that you have two points, you can draw a line between them as well, by clickng on them.	[google]Ahora que tiene dos puntos, también puede dibujar una línea entre ellos, haciendo clic en ellos.	Now that you have two points, you can draw a line between them as well, by clickng on them.	[google]Ahora que tiene dos puntos, también puede dibujar una línea entre ellos, haciendo clic en ellos.	Now that you have two points, you can draw a line between them as well, by clickng on them.	[google]Ahora que tiene dos puntos, también puede dibujar una línea entre ellos, haciendo clic en ellos.	Now that you have two points, you can draw a line between them as well, by clickng on them.	[google]Ahora que tiene dos puntos, también puede dibujar una línea entre ellos, haciendo clic en ellos.	Now that you have two points, you can draw a line between them as well, by clickng on them.	[google]Ahora que tiene dos puntos, también puede dibujar una línea entre ellos, haciendo clic en ellos.	Now that you have two points, you can draw a line between them as well, by clickng on them.	[google]Ahora que tiene dos puntos, también puede dibujar una línea entre ellos, haciendo clic en ellos.
